tv_show_id,tv_show_name,tv_show_streaming_service,tv_show_genre1,tv_show_genre2,tv_show_description,tv_show_image,episode_count,season_count
1,Shrinking,Apple TV+,Comedy,Drama,"A grieving therapist starts to break the rules by telling his clients exactly what he thinks. Jimmy has lost his wife and wants to try a new approach to his loss, but it is unclear how this will help others",,10,1
2,Ted Lasso,Apple TV+,Comedy,Drama,"An American football coach is hired to manage a British soccer team; what he lacks in knowledge, he makes up for in optimism, determination and biscuits.",,34,3
3,The Morning Show,Apple TV+,Drama,,"An unapologetically candid drama that looks at the modern workplace through the lens of the people who help wake America up, pulling back the curtain on early morning TV.",,30,3
4,Severance,Apple TV+,Drama,,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives; when a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",,9,1
5,Hello Tomorrow!,Apple TV+,Comedy,Drama,"In a retro-futuristic world, charismatic salesman Jack Billings leads a team of fellow sales associates determined to revitalize their customers' lives by hawking timeshares on the moon.",,10,1
6,For All Mankind,Apple TV+,Drama,,Exploring the possibilities that might exist if the global space race had continued and where humanity would be now.,,30,3
7,See,Apple TV+,Drama,,"In the far future, humankind has lost its sense of sight; the father of twins who are born with the mythic ability to see must protect his tribe against a threatened queen.",,24,3
8,The Big Door Prize,Apple TV+,Comedy,,"A small town is forever changed when a mysterious machine appears, promising to reveal everyone's true potential; soon, residents start changing jobs, rethinking relationships and questioning long-held beliefs.",,10,1
9,Schmigaddon,Apple TV+,Musical,Comedy,"On a backpacking trip designed to reinvigorate their relationship, a couple discovers a magical town living in a 1940s musical and learn that they can't leave until they find true love.",,12,2
10,Mandalorian,Disney+,Space Western,,"After the fall of the Galactic Empire, a lone gunfighter makes his way through the outer reaches of the lawless galaxy.",,24,3
11,Star Wars: The Clone Wars,Disney+,Sci-Fi,Animation,"The first weekly TV series from Lucasfilm Animation chronicles the adventures of Anakin Skywalker, Yoda, Obi-Wan Kenobi and other popular characters from the `Star Wars' universe during the violent Clone Wars, as dwindling numbers of Jedi knights struggle to restore peace.",,133,7
12,Ahsoka,Disney+,Action,,Former Jedi knight Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.,,8,1
13,Star Wars: The Bad Batch,Disney+,Sci-Fi,Animation,Members of a unique squad of clones find their way in a changing galaxy in the aftermath of the Clone War.,,32,2
14,Star Wars: Visions,Disney+,Sci-Fi,Animation,"Animation studios from around the world bring their unique perspectives to the ""Star Wars"" universe through a series of short films.",,18,2
15,Tales of the Jedi,Disney+,Sci-Fi,Animation,A collection of shorts featuring parables built around Jedi from the prequel era; the lives of two distinctly different Jedi: Ahsoka Tano and Count Dooku; each will be put to the test as they make choices that will define their destinies.,,6,1
16,Loki,Disney+,Action,,"Loki, the God of Mischief, steps out of his brother's shadow to embark on an adventure that takes place after the events of ""Avengers: Endgame.""",,12,2
